experimentID;param0;param1;param2;param3;param4;param5;param6;param7;param8;param9;param10;param11;param12;param13;param14;param15;param16;param17;param18;param19;param20;param21;param22;param23;param24;param25;param26;param27;param28;param29
2021-07-12111927-0;148.15170922271352;75.64642227578486;-20.73091249477909;-332.29488010535835;-234.39109748723052;-535.1644944046121;-190.98985140456546;458.0634299712544;-397.82788606490055;-262.40456333085416;17.894806730746495;-140.51382833912885;-350.6162105032562;-210.25745974851685;25.929460089368376;33.18100310571333;389.2831954632312;251.1292757800585;32.87713641151629;204.06175861148915;-391.26406668176685;78.59036770433488;86.71729201024755;32.844138849151136;54.06089527054678;-519.515294476928;127.20084531470957;-146.65384263171433;-507.73027963914546;-349.7081124742541
2021-07-12111927-1;188.57524414619456;348.4548471940102;-95.632210735228;-81.32437981121564;581.7291048402712;54.10888987041869;-124.38504823153613;-238.11115123529106;-163.19409120738186;-314.2201318922257;-379.90247556252683;-99.00891545213472;-99.87414217532245;152.69875053350995;158.44973592691917;-264.69084101696484;-324.76030183908847;-373.8782936316663;250.061567429521;-508.0226229845048;-22.361581207166296;523.6740698188678;62.80168978458266;-432.73703273208275;-292.81233033366715;-160.26466103189;-277.7067383850439;-576.2250860640751;-351.26864212818515;-475.989882342045
2021-07-13091330-0;-38.467746554416635;6.674085658797594;-9.336883191496895;247.1503395758217;400.08741357530596;-59.76451507674358;-335.64382139387436;205.04006147304563;-586.2163106978383;338.93826751315544;-592.3458780236818;-197.10486263231297;-305.2460106343784;-327.0895994173615;1.3155847441103106;-541.8600113631153;106.59434032258696;301.3681344106815;-75.62383675333729;-28.419521737331024;-67.13585550996481;-478.54640625162347;66.34506474570298;199.31628136260713;437.58274193185997;232.70859070788822;290.1660620173352;-48.18938644109585;-74.59627734275136;-341.7886383680508
2021-07-13091330-1;-263.37587606849746;-326.80726960719755;-25.932154312686066;-216.32207465197183;101.96434057327792;500.9821377415112;-399.38574635511236;465.31872516628164;287.2276636460291;22.878807946225947;181.2215965187736;185.83845445013912;62.86996874081444;-435.9437543139727;-163.96731797565775;-234.0459140663146;207.0066875193952;212.40800925196174;366.4543149619009;-383.102828035867;371.1699741907131;-140.34846336771705;108.85586254587656;-414.22438451711946;-164.67474439236582;8.852401287013663;-238.12906208194607;-259.43960667728714;-104.57151695058661;6.238724515823037
2021-07-13091330-2;399.1158874230297;-158.506615909517;-301.7636727908619;-92.860221271478;-370.52970947050653;-476.0007621337127;-148.97116123103552;-77.76729546858712;322.2862318308705;412.0526557735669;299.316886572499;143.81419766252043;-182.8437334181221;-464.280431410641;-247.42506481616465;-161.11355478339715;200.08058451462603;-75.63572128941087;-2.906604095031298;-108.71341152410236;-459.82506153390614;478.39959167034556;-170.02889175385076;-37.10327740437344;284.10156278835586;-11.69754094635526;207.15977094265554;488.3052667514967;-352.93529598075634;285.1667545613476
2021-07-13091330-3;-187.90249773057923;394.73122770078396;-327.9860974602685;-115.60976246998405;507.5279997167486;-247.76253282269573;421.69504359716893;-144.2831081241411;288.7701313030087;-305.12842936239565;-434.57457310105804;-357.1811830093071;432.2648096699618;156.62853865635714;-68.8740982971002;365.845729529197;462.83468995324415;132.30056547776724;213.89607951742687;150.11716727987107;78.50150925918422;387.55924574989876;-336.13506436709656;-102.96848568191751;381.60133927079323;244.37178888595201;-252.41355582210502;152.97191516329156;39.17192764621359;253.363016469973
2021-07-13091330-4;-44.257701746511316;-344.043374769289;-395.34872178758764;258.2114183258136;257.94250284979125;-35.24977025363842;10.146620203682119;-159.26995436975199;-277.2124363148532;263.8780604332678;-276.75366974843337;-449.50203923135973;206.1109261254038;432.3148478091575;208.5348862915372;-22.52944633499044;129.72743271072875;414.419742549533;334.0923775732474;-62.24743366342943;96.09150002175613;467.5895192985579;-33.98718861392376;365.17886156535144;-203.25800356187386;-58.216477529714666;354.53737998532335;-145.3857753232917;-288.2145379297953;197.058348652704
2021-07-13091330-5;538.3072496969494;190.0247441516659;-440.005748146467;13.679998495209702;44.542311304353575;-49.42604745461972;12.232241813972564;112.9439581294439;-297.14012720435204;584.6662656545636;514.4703410191873;-144.31370445880015;-2.6485155416872885;-71.78080637932908;265.92141365966575;359.29586888399774;-143.14293498507027;-285.96562941038644;52.58152028239817;-68.81104913212289;322.05895825835364;-29.574344584087953;186.8274349509636;322.78172033377143;48.14598834128378;542.6558463031724;378.8010991360595;-68.38439120389421;-115.98213601079317;-536.4806208425766
2021-07-13091330-6;166.59571319924999;-278.2843619901715;155.13343873673136;125.98792250760391;194.8009660024219;79.67640473791027;-571.1123601360697;-0.9782042348698496;-179.9846019378869;-60.89818967690496;-267.02236186407316;555.7877946462384;184.3256591359559;289.8883146459282;-479.86007045213415;196.3303101285445;-1.7817240132669667;-226.5582114346348;258.41989974793887;15.94602427040104;347.9585323327723;366.0268128055143;301.3237272605372;146.0200645112477;-72.37174172597884;-277.32248038809087;-95.96385795939881;-127.41383884891195;210.06177931869706;-474.8264154879852
2021-07-13091330-7;-51.170710789614304;-331.0780590920108;-58.617591018671874;275.2342467136607;449.99672517800036;-464.9219713509106;312.03490267196025;60.758309515874004;-197.48775254659637;276.4909390939878;260.5123240137632;28.80999491892942;-93.91788901323758;575.1475928464781;-181.67106863589527;415.1435558727263;-147.7902628383858;-35.63509414796465;-290.56816553526085;-334.0946355388769;17.372386469486628;294.04995938327886;-265.91378089525483;-132.62796129602174;-208.24935968261735;-407.3717579842616;-497.8683133875131;152.15262560494625;101.45303165150005;251.86957479515547
